headline,url,scraped_at
Rafael Nadal 'Doesn't Miss Tennis' After Retirement,https://sports.ndtv.com/tennis/rafael-nadal-doesnt-miss-tennis-after-retirement-8506636,2025-05-26 09:18:42
OTT And Theatrical Releases This Week (May 26-June 1):Criminal Justice Season 4 And More,https://www.ndtv.com/entertainment/ott-and-theatrical-releases-this-week-may-26-june-1-karate-kid-legends-criminal-justice-season-4-and-more-8503746,2025-05-26 09:18:42
"PM Modi To Visit Gujarat Today To Launch Projects Worth Rs 82,000 Crore",https://www.ndtv.com/india-news/prime-minister-narendra-modi-to-visit-gujarat-today-to-launch-projects-worth-rs-82-000-crore-8508043,2025-05-26 09:18:42
"""Time For A New Normal Against Terrorism"": Shashi Tharoor On Op Sindoor",https://www.ndtv.com/india-news/shashi-tharoor-on-op-sindoor-says-time-for-a-new-normal-against-terrorism-8506634,2025-05-26 09:18:42
Trent Alexander-Arnold 'Never Felt So Loved' As Liverpool Star Says farewell,https://sports.ndtv.com/football/trent-alexander-arnold-never-felt-so-loved-as-liverpool-star-says-farewell-8506601,2025-05-26 09:18:42
Viral Again: Mukul Dev's One Of The Last Videos With Vindu Dara Singh,https://www.ndtv.com/entertainment/viral-again-mukul-devs-one-of-the-last-videos-with-vindu-dara-singh-8508013,2025-05-26 09:18:42
"""Era Of Western Interference Over. Future Belongs To..."": US Envoy To Syria",https://www.ndtv.com/world-news/syria-was-split-for-imperial-gain-us-envoy-slams-wests-middle-east-policies-8508004,2025-05-26 09:18:42
Madhya Pradesh Leader Arrested After Obscene Video Goes Viral,https://www.ndtv.com/india-news/manohar-lal-dhakad-madhya-pradesh-leader-arrested-after-obscene-video-goes-viral-8505234,2025-05-26 09:18:42
Mass Shooting In South Carolina Leaves 11 Injured,https://www.ndtv.com/world-news/us-mass-shooting-in-south-carolina-little-river-leaves-many-injured-8507999,2025-05-26 09:18:42
More Terrorists Living In Pak Than All Over World: Ghulam Nabi Azad,https://www.ndtv.com/india-news/ghulam-nabi-azad-says-more-terrorists-living-in-pakistan-than-all-over-world-8506569,2025-05-26 09:18:42
Ange Postecoglou Vows To Deliver More Success If Tottenham Hotspur Stick With Him,https://sports.ndtv.com/football/ange-postecoglou-vows-to-deliver-more-success-if-tottenham-hotspur-stick-with-him-8506424,2025-05-26 09:18:42
"On MS Dhoni's IPL Future, Suresh Raina, Aakash Chopra Engage In Fiery Debate. Video Viral",https://sports.ndtv.com/cricket/on-ms-dhonis-ipl-future-suresh-raina-aakash-chopra-engage-in-fiery-debate-video-viral-8507918,2025-05-26 09:18:42
"Guyana Says It ""Stands Unequivocally"" With India Against Terrorism",https://www.ndtv.com/india-news/guyana-vice-president-bharrat-jagdeo-says-guyana-stands-unequivocally-with-india-8507582,2025-05-26 09:18:42
Pep Guardiola Says Jack Grealish Could Leave Manchester City,https://sports.ndtv.com/football/pep-guardiola-says-jack-grealish-could-leave-manchester-city-8506350,2025-05-26 09:18:42
"Waterlogging In Mumbai, Forecast For More Rain, Trains Running Late",https://www.ndtv.com/mumbai-news/waterlogging-in-mumbai-forecast-for-more-rain-trains-running-late-8507867,2025-05-26 09:18:42
"Carlos Alcaraz, Jannik Sinner Launch French Open Bids As Iga Swiatek Seeks Lift",https://sports.ndtv.com/tennis/carlos-alcaraz-jannik-sinner-launch-french-open-bids-as-iga-swiatek-seeks-lift-8507718,2025-05-26 09:18:42
"S Jaishankar Speaks To Canadian Counterpart Anita Anand, Discusses Ties",https://www.ndtv.com/world-news/s-jaishankar-speaks-to-canadian-counterpart-anita-anand-discusses-ties-8507835,2025-05-26 09:18:42
"Himanta Sarma Shares Map With Bangladesh's ""2 Vulnerable Chicken Necks""",https://www.ndtv.com/india-news/assams-himanta-sarma-shares-bangladeshs-map-with-2-chicken-necks-weeks-after-muhammad-yunus-comment-8507728,2025-05-26 09:18:42
"Karun Nair Breaks Silence After Being Handed India Comeback: ""Was Awaiting...""",https://sports.ndtv.com/cricket/karun-nair-breaks-silence-after-being-handed-india-comeback-was-awaiting-8499334,2025-05-26 09:18:42
"Trump Calls Putin ""Absolutely Crazy"" As Russia Intensifies Attack On Ukraine",https://www.ndtv.com/world-news/donald-trump-calls-vladimir-putin-absolutely-crazy-as-russia-intensifies-attack-on-ukraine-8507686,2025-05-26 09:18:42
